               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                  52,            0.037218,           0.0048217,           0.0025463,             0.11631,             0.94662,              0.9544,             0.93656,             0.64691,            0.026187,           0.0034526,           0.0020431,                0.11,           0.0099488,           0.0099488,           0.0099488
                  53,            0.037211,           0.0047707,           0.0024355,              0.1157,             0.95898,             0.98654,             0.98768,             0.66312,            0.024631,            0.003397,           0.0021496,             0.11061,           0.0099467,           0.0099467,           0.0099467
                  54,            0.036335,           0.0048245,           0.0022141,             0.11528,             0.98963,             0.99001,              0.9932,             0.73862,            0.022773,           0.0034069,           0.0013849,             0.10594,           0.0099447,           0.0099447,           0.0099447
                  55,            0.036706,           0.0047308,           0.0022022,              0.1144,             0.96317,             0.96339,             0.94791,               0.633,            0.023183,           0.0033635,           0.0009808,             0.11146,           0.0099426,           0.0099426,           0.0099426
                  56,            0.036558,           0.0047484,           0.0021385,              0.1146,             0.97245,             0.98171,             0.97789,              0.6858,            0.023843,           0.0034171,           0.0009354,             0.10708,           0.0099404,           0.0099404,           0.0099404
                  57,            0.036257,           0.0046545,           0.0024746,             0.11411,             0.97066,             0.98116,             0.98822,             0.65841,            0.024693,           0.0034602,           0.0022398,             0.10936,           0.0099383,           0.0099383,           0.0099383
                  58,            0.036963,           0.0048582,            0.002452,             0.11247,             0.99102,             0.98345,             0.99104,             0.70203,            0.023233,           0.0033113,           0.0013043,             0.10755,            0.009936,            0.009936,            0.009936
                  59,            0.035773,             0.00467,           0.0022894,             0.11252,              0.9955,             0.99685,             0.99426,             0.69587,            0.022651,           0.0033296,          0.00097779,              0.1066,           0.0099338,           0.0099338,           0.0099338
                  60,            0.036748,           0.0048417,            0.002186,             0.11183,             0.99424,             0.99501,             0.99473,             0.72124,            0.022325,           0.0033067,          0.00091055,             0.10763,           0.0099315,           0.0099315,           0.0099315
                  61,             0.03614,           0.0048144,           0.0021313,             0.11227,             0.99683,             0.99579,               0.995,             0.72425,            0.023353,           0.0033315,          0.00082641,              0.1019,           0.0099291,           0.0099291,           0.0099291
                  62,            0.035665,           0.0047826,           0.0019974,             0.11126,             0.99399,             0.99794,             0.99436,             0.69798,            0.021654,            0.003345,          0.00054667,             0.10695,           0.0099268,           0.0099268,           0.0099268
                  63,            0.036202,           0.0046727,           0.0021302,             0.11204,             0.99273,             0.98639,             0.99322,             0.75191,            0.022849,           0.0033805,           0.0014267,             0.10165,           0.0099244,           0.0099244,           0.0099244
                  64,            0.035986,           0.0047628,           0.0020996,             0.11055,             0.99772,             0.99115,               0.995,             0.72515,            0.022064,           0.0032723,          0.00065665,            0.099383,           0.0099219,           0.0099219,           0.0099219
                  65,            0.034954,           0.0047617,            0.002204,             0.11184,             0.95934,              0.9607,             0.95354,             0.68273,             0.02334,           0.0033138,          0.00093393,             0.10558,           0.0099194,           0.0099194,           0.0099194
                  66,            0.035553,           0.0047161,           0.0024092,             0.11113,             0.99702,             0.99736,             0.99498,             0.74563,            0.021405,           0.0033829,          0.00084427,            0.098492,           0.0099169,           0.0099169,           0.0099169
                  67,            0.035714,           0.0047407,           0.0021346,             0.11065,             0.98998,             0.99247,             0.99429,             0.76325,            0.021157,           0.0033061,           0.0010745,              0.1019,           0.0099143,           0.0099143,           0.0099143
                  68,            0.034847,           0.0046484,           0.0022537,             0.10992,             0.99207,             0.99793,             0.99446,             0.77273,            0.022089,           0.0032581,          0.00097643,            0.098393,           0.0099117,           0.0099117,           0.0099117
                  69,            0.035715,           0.0046712,           0.0019004,             0.10971,             0.99341,             0.98865,             0.99452,             0.71067,            0.021905,           0.0033087,           0.0010036,             0.10073,           0.0099091,           0.0099091,           0.0099091
                  70,            0.034978,           0.0047435,            0.002074,             0.10977,             0.99269,             0.99629,             0.99376,             0.75316,            0.021481,           0.0032379,          0.00091221,             0.10146,           0.0099064,           0.0099064,           0.0099064
                  71,            0.034823,           0.0046655,           0.0020342,             0.10929,              0.9979,             0.99737,               0.995,             0.77347,            0.021828,           0.0033585,          0.00079839,            0.097675,           0.0099037,           0.0099037,           0.0099037
                  72,            0.034709,           0.0047685,           0.0019125,             0.10792,             0.99777,             0.99999,               0.995,             0.77328,            0.021857,           0.0032961,          0.00055729,             0.10053,           0.0099009,           0.0099009,           0.0099009
                  73,             0.03439,           0.0047357,           0.0019734,             0.10873,             0.99971,             0.99115,               0.995,             0.77212,            0.021242,           0.0032515,          0.00084937,            0.096686,           0.0098981,           0.0098981,           0.0098981
                  74,            0.034641,           0.0047367,            0.001805,             0.10802,              0.9878,             0.98605,             0.99473,             0.74099,            0.020241,           0.0031988,           0.0011178,             0.10044,           0.0098953,           0.0098953,           0.0098953
                  75,            0.034724,           0.0046607,           0.0018793,             0.10737,             0.99762,             0.98477,             0.99496,             0.75414,            0.020568,           0.0033191,           0.0011081,            0.097257,           0.0098924,           0.0098924,           0.0098924
                  76,             0.03514,           0.0047242,           0.0021901,             0.10722,             0.99542,             0.98864,             0.99484,             0.74642,            0.020565,           0.0032556,           0.0010794,            0.098601,           0.0098895,           0.0098895,           0.0098895
                  77,            0.035131,           0.0046604,           0.0018533,             0.10513,             0.98969,             0.98869,             0.99099,             0.75846,            0.021309,           0.0032327,          0.00073705,             0.09857,           0.0098865,           0.0098865,           0.0098865
                  78,            0.034747,           0.0047344,           0.0022326,             0.10786,             0.97318,             0.99304,             0.99228,             0.77578,            0.020761,           0.0032187,          0.00073945,            0.095756,           0.0098835,           0.0098835,           0.0098835
                  79,            0.034857,           0.0048068,           0.0017032,             0.10599,             0.99942,             0.99958,               0.995,             0.76148,            0.020257,           0.0031745,          0.00060134,            0.097238,           0.0098805,           0.0098805,           0.0098805
